,facility_code,facility_name,hospital_type,owner,no_of_beds,no_of_cots,no_of_icu_beds,open_24_hours,open_weekends,operational_status,art,c-imci,fp,hbc,ipd,"core_health_workforce_per_10,000_population",total_population,county,constituency,nearest_town
2458,14833,Kericho Municipal Health Centre,Health Centre,Local Authority,3,0,5.0,N,N,Operational,N,N,Y,Y,Y,16.2,901777,kericho,AINAMOI,Kericho
2459,14834,Kericho Nursing Home,Other Hospital,Private Enterprise (Institution),0,0,5.0,Y,Y,Operational,N,Y,Y,N,Y,16.2,901777,kericho,AINAMOI,Kericho
2460,21098,Kericho Teachers Training College Medical Clinic,Medical Clinic,Academic (if registered),0,0,5.0,N,N,Operational,N,N,N,N,N,16.2,901777,kericho,AINAMOI,Next to Kericho Day Secondary School
2461,19854,X-Ray Screening Centre,Medical Clinic,Private Practice - Unspecified,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,NYERI TOWN,0
2462,17598,Yaathi Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,14.9,1136187,kitui,KITUI SOUTH,Ikanga
2463,17579,Yaballo Dispensary,Dispensary,Ministry of Health,0,0,0.0,Y,Y,Operational,N,N,N,N,N,13.5,459785,marsabit,SAKU,Kinisa
2464,13456,Yabicho Health Centre,Health Centre,Ministry of Health,4,0,0.0,Y,Y,Operational,N,Y,Y,N,Y,5.2,867457,mandera,MANDERA CENTRAL,Rhamu
2465,20334,Yago Community Dispensary,Dispensary,Ministry of Health,0,0,21.0,N,N,Operational,N,N,N,N,N,22.6,1155574,kisumu,MUHORONI,Achego
2466,16279,Yago Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,Y,Y,Y,Y,Y,11.3,1116436,migori,NYATIKE,Bande
2467,12851,Yakalia Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,N,N,14.9,1136187,kitui,KITUI CENTRAL,Katulani
2468,17069,Yala Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,14.2,1131950,homabay,KASIPUL/KABONDO,Yalla Primary School
2469,14175,Yala Sub-District Hospital,Sub-District Hospital,Ministry of Health,96,0,0.0,N,N,Operational,Y,Y,Y,N,Y,13.7,993183,siaya,GEM,Yala Township
2472,12852,Yanzuu Health Centre,Health Centre,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,N,Y,14.9,1136187,kitui,MUTITO,Nzewani shopping center
2473,13457,Yassin Clinic,Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,Y,Operational,N,N,N,N,N,6.1,781263,wajir,WAJIR EAST,Wajir
2476,12853,Yatta Health Centre,Health Centre,Ministry of Health,5,8,0.0,Y,Y,Operational,Y,Y,Y,Y,Y,14.9,1136187,kitui,KITUI WEST,kiusyani
2477,12854,Yatwa Dispensary,Dispensary,Ministry of Health,2,0,0.0,N,N,Operational,N,N,Y,Y,Y,14.9,1136187,kitui,MWINGI SOUTH,Yatwa
2478,15785,Yatya Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,Y,N,10.6,666763,baringo,BARINGO NORTH,Kabartonjo
2479,16963,Yekanga Dispensary,Dispensary,Ministry of Health,0,0,4.0,N,N,Operational,N,N,N,N,N,13.2,987653,makueni,MAKUENI,0
2480,11911,Yeshua Medical,Medical Clinic,Private Enterprise (Institution),0,0,36.0,N,N,Operational,N,N,Y,N,Y,19.2,1208333,mombasa,KISAUNI,Mombasa
2483,12855,Yimwaa Dispensary,Dispensary,Ministry of Health,6,0,4.0,N,N,Operational,N,N,Y,Y,Y,13.2,987653,makueni,KIBWEZI,Makindu
2484,20270,Yinthungu Dispensary,Dispensary,Ministry of Health,2,0,4.0,N,N,Operational,N,N,N,N,N,13.2,987653,makueni,MAKUENI,kanzokea
2485,20221,Yoef Mediacl Clinic,Medical Clinic,Private Practice - General Practitioner,0,0,21.0,N,Y,Operational,N,N,N,N,N,22.6,1155574,kisumu,KISUMU TOWN EAST,Kibuye Market-Kisumu Kakamega Road
2486,17584,Yofak VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,0,0,0.0,N,N,Operational,N,N,N,N,N,14.2,1131950,homabay,KASIPUL/KABONDO,Oyugis Town
2487,14176,Yokia Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,14.2,1131950,homabay,MBITA,Sena
2488,12856,Yongela Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,N,N,14.9,1136187,kitui,KITUI SOUTH,Mbitini
2490,12863,AAR Thika Road Clinic,Medical Clinic,Private Enterprise (Institution),0,0,258.0,N,N,Operational,N,N,N,N,N,26.3,4397073,nairobi,ROYSAMBU,Nairobi
2491,18821,Abakaile Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,N,N,N,10.0,841353,garissa,LAGDERA,0
2492,13265,Abakore Sub District Hospital,Sub-District Hospital,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,N,Y,6.1,781263,wajir,WAJIR SOUTH,Habaswein
2493,12864,Abandoned Child Care,Dispensary,Non-Governmental Organizations,0,0,258.0,N,N,Operational,N,Y,Y,N,Y,26.3,4397073,nairobi,DAGORETTI SOUTH,Dagoretti Market
2494,19856,Abba Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,OTHAYA,0
2495,19484,Abby Clinic,Medical Clinic,Private Enterprise (Institution),1,1,258.0,Y,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
2496,19117,Abby Health Services,Medical Clinic,Private Practice - General Practitioner,0,0,0.0,N,Y,Operational,N,N,N,N,N,14.9,1136187,kitui,KITUI CENTRAL,Kitui
2497,12126,ABC Thange Dispensary,Dispensary,Other Faith Based,0,0,4.0,N,N,Operational,N,N,N,N,N,13.2,987653,makueni,KIBWEZI,Thange
2498,19354,Abdallah Dental Clinic (Barclays Plaza-Nairobi),Dental Clinic,Private Practice - Unspecified,0,0,258.0,N,N,Operational,N,N,N,N,N,26.3,4397073,nairobi,STAREHE,GPO
2499,17009,Abdisamad Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,N,N,N,10.0,841353,garissa,DUJIS,Abdisamad
2500,20689,Abdiwaqo Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,6.1,781263,wajir,WAJIR WEST,Eldas
2501,10001,Abel Migwi Johana Laboratory,Laboratory (Stand-alone),Private Enterprise (Institution),0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,NDIA,0
2503,10002,Aberdare Medical & Surgical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,OTHAYA,Othaya Town
2504,13461,Abidha Health Centre,Health Centre,Ministry of Health,16,0,0.0,Y,Y,Operational,Y,Y,Y,Y,Y,13.7,993183,siaya,RARIEDA,Asembo Bay
2505,16716,Able Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,9.0,N,Y,Operational,N,N,Y,N,N,9.9,1867579,kakamega,SHINYALU,Shinyalu
2506,15789,Aboloi Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,Y,Y,11.9,893681,busia,AMAGORO,Malakisi
2507,19441,Abra Health Services,Medical Clinic,Private Practice - Unspecified,2,1,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,EMBAKASI WEST,Donholm
2508,19562,Abraham Memorial Nursing Home (Westlands),Maternity Home,Private Enterprise (Institution),6,1,258.0,Y,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
2510,20524,Absalom Wangulu Dispensary,Dispensary,Ministry of Health,1,0,21.0,N,N,Operational,N,N,N,N,N,22.6,1155574,kisumu,NYANDO,Rabuor
2511,19897,Abundant Life Clinic,Medical Clinic,Private Enterprise (Institution),2,0,21.0,N,N,Operational,N,N,N,N,N,22.6,1155574,kisumu,KISUMU TOWN EAST,Kisumu Town
2512,19980,Acacia Clinic (Kilimani),Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,DAGORETTI NORTH,CBD Nbi
2513,19413,Acacia Medical Centre (Nairobi),Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,STAREHE,City Market
2514,14184,Acacia Medicare Centre,Medical Clinic,Private Practice - Clinical Officer,0,0,0.0,N,N,Operational,N,Y,Y,N,N,24.6,1117840,kajiado,KAJIADO NORTH,Ngong
2515,18965,Acc&S Kariua Dispensary,Dispensary,Christian Health Association of Kenya,0,0,4.0,N,Y,Operational,N,N,N,N,N,17.068633206144384,1056640,murang'a,KANDARA,Kariua
2516,19467,Access Afya,Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,STAREHE,S.B Shopping Centre
2517,21158,Access Afya Medical Centre Viwandani,Medical Clinic,Private Practice - Medical Specialist,4,1,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,MAKADARA,Nairobi
2518,11581,Matuga Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,Y,Y,Y,8.0,866820,kwale,MATUGA,Kwale
2520,16389,Matulo Dispensary,Dispensary,Other Public Institution,0,0,23.0,N,N,Operational,N,N,N,N,N,8.5,1670570,bungoma,WEBUYE,Webuye
2521,16410,Matumaini Dispensary,Dispensary,Other Faith Based,0,0,19.0,N,N,Operational,N,N,Y,N,Y,19.3,2162202,nakuru,MOLO,Molo
2522,18095,Matumbi Dispensary,Dispensary,Non-Governmental Organizations,2,2,6.0,N,N,Operational,N,N,N,N,N,8.0,866820,kwale,KINANGO,matumbi
2524,16007,Matunda Nursing Home,Nursing Home,Private Enterprise (Institution),9,0,9.0,N,N,Operational,N,Y,Y,N,Y,9.9,1867579,kakamega,LUGARI,Matunda
2525,16008,Matunda Sub-District Hospital,Sub-District Hospital,Ministry of Health,10,0,9.0,Y,Y,Operational,N,Y,Y,N,Y,9.9,1867579,kakamega,LUGARI,Matunda
2527,20245,Matungu Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,4,1,9.0,N,Y,Operational,N,N,N,N,N,9.9,1867579,kakamega,MATUNGU,Matungu
2528,16037,Matungu Sub-District Hospital,Sub-District Hospital,Ministry of Health,0,0,9.0,N,N,Operational,Y,Y,Y,N,Y,9.9,1867579,kakamega,MATUNGU,Mumias
2529,16439,Matungulu Health Centre,Health Centre,Ministry of Health,0,0,5.0,N,N,Operational,Y,N,Y,N,Y,18.2,1421932,machakos,KANGUNDO,Matungulu
2530,18292,Matungulu Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,2,0,5.0,N,Y,Operational,N,N,N,N,N,18.2,1421932,machakos,KANGUNDO,Tala Market
2531,10708,Matura Medical Care,Medical Clinic,Private Practice - Clinical Officer,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,NYERI TOWN,Nyeri Town
2532,16009,Maturu Dispensary,Dispensary,Ministry of Health,0,0,9.0,N,N,Operational,N,N,Y,N,Y,9.9,1867579,kakamega,LUGARI,Mukhonje
2533,13794,Matutu Dispensary,Dispensary,Christian Health Association of Kenya,1,0,0.0,N,N,Operational,N,N,Y,Y,Y,14.1,605576,nyamira,NORTH MUGIRANGO,Nyaronde
2535,18379,Matutu Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,19.0,N,Y,Operational,N,N,N,N,N,19.3,2162202,nakuru,NAKURU TOWN,Near soko Mjinga Kaptembwa
2536,12487,Matuu Cottage Clinic,Medical Clinic,Private Enterprise (Institution),0,0,5.0,N,N,Operational,N,Y,N,N,N,18.2,1421932,machakos,YATTA,Matuu
2537,12488,Matuu District Hospital,District Hospital,Ministry of Health,40,10,5.0,Y,Y,Operational,Y,Y,Y,Y,Y,18.2,1421932,machakos,YATTA,Matuu
2538,12489,Matuu Mission Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,0,0,5.0,N,N,Operational,N,N,N,Y,Y,18.2,1421932,machakos,YATTA,Matuu
2539,15156,Mau Narok Health Centre,Health Centre,Ministry of Health,3,0,19.0,N,N,Operational,N,Y,Y,Y,Y,19.3,2162202,nakuru,MOLO,Mau-Narok
2540,15157,Mau Summit Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,19.0,N,N,Operational,N,N,Y,Y,Y,19.3,2162202,nakuru,KURESOI,Mau-Sammit
2541,15158,Mau Tea Dispensary,Dispensary,Company Medical Service,4,0,5.0,N,N,Operational,N,N,Y,N,Y,16.2,901777,kericho,KIPKELION,Brooke Bond
2542,12491,Maua Cottage,Maternity Home,Private Enterprise (Institution),0,0,6.0,N,N,Operational,N,Y,Y,N,Y,18.6,1545714,meru,IGEMBE,Maua
2543,19409,Maua Diagnostic Centre,Laboratory (Stand-alone),Private Practice - Unspecified,0,0,6.0,N,Y,Operational,N,N,N,N,N,18.6,1545714,meru,IGEMBE,Maua town
2544,20360,Maximum medical centre,Medical Clinic,Private Practice - Unspecified,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,KASARANI,near maji mazuri open ground before the bridge to mwiki
2545,15162,Maximum Medical Services,Medical Clinic,Private Enterprise (Institution),0,0,19.0,N,N,Operational,N,N,Y,Y,Y,19.3,2162202,nakuru,MOLO,Tipis
2546,16489,Mayanja Dispensary,Dispensary,Ministry of Health,0,0,23.0,N,N,Operational,N,N,Y,N,Y,8.5,1670570,bungoma,KANDUYI,Bungoma
2547,21251,Mayanja St. Pauls Medical Services,Medical Clinic,Private Practice - General Practitioner,4,0,23.0,Y,Y,Operational,N,N,N,N,N,8.5,1670570,bungoma,KANDUYI,Mayanja Market
2548,21042,Mayenje Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,11.9,893681,busia,NAMBALE,Busia Town
2549,13079,Mayflower Clinic,Medical Clinic,Private Enterprise (Institution),0,0,258.0,N,N,Operational,N,N,Y,Y,Y,26.3,4397073,nairobi,EMBAKASI SOUTH,Nairobi
2550,21271,Maylaurels Medical Centre,Medical Clinic,Private Practice - Clinical Officer,0,0,258.0,Y,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,EMBAKASI EAST,Utawala
2551,18701,Mayo Clinic,Medical Clinic,Private Practice - Unspecified,0,0,6.0,N,N,Operational,N,N,N,N,N,18.6,1545714,meru,NORTH IMENTI,Meru Town
2552,16597,Mayo Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,6.0,N,N,Operational,N,N,N,N,N,18.6,1545714,meru,NORTH IMENTI,Meru
2553,16598,Mayo Medical Laboratory,Medical Clinic,Private Enterprise (Institution),0,0,6.0,N,N,Operational,N,N,N,N,N,18.6,1545714,meru,NORTH IMENTI,Meru
2554,10709,Mayols Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,MUKURWEINI,Thangathi
2555,10710,Mayos Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,14.0,N,N,Operational,N,N,N,N,N,31.0,759164,nyeri,OTHAYA,Othaya Town
2557,11585,Mazeras Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,Y,N,N,Y,Y,8.0,866820,kwale,KINANGO,Mazeras
2558,11586,Maziwa Dispensary,Dispensary,Ministry of Health,2,0,0.0,Y,N,Operational,N,N,Y,Y,Y,7.2,315943,tanariver,GARSEN,Garsen
2559,11587,Mazumalume Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,Y,Y,Y,8.0,866820,kwale,MATUGA,Kwale
2560,17672,Mbaga Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,19.1,340671,taitataveta,MWATATE,Bura
2561,13797,Mbaga Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,0,0,0.0,N,N,Operational,N,N,Y,N,Y,13.7,993183,siaya,ALEGO,Mbaga Shopping Centre
2562,16011,Mbagara Dispensary,Dispensary,Ministry of Health,0,0,9.0,N,N,Operational,N,N,Y,N,Y,9.9,1867579,kakamega,LUGARI,Mbagara
2563,13080,Mbagathi District Hospital,District Hospital,Ministry of Health,200,10,258.0,Y,Y,Operational,Y,Y,Y,Y,Y,26.3,4397073,nairobi,KIBRA,Kenyatta Market
2564,20199,Mbaka Oromo Dispensary,Dispensary,Ministry of Health,0,0,21.0,N,N,Operational,N,N,N,N,N,22.6,1155574,kisumu,KISUMU RURAL,Chulaimbo Market
2565,11588,Mbalambala Dispensary,Dispensary,Ministry of Health,1,0,0.0,N,N,Operational,N,N,Y,N,Y,7.2,315943,tanariver,BURA,Bangali
2566,11589,Mbale Health Centre,Health Centre,Ministry of Health,10,0,0.0,Y,N,Operational,N,Y,N,Y,Y,19.1,340671,taitataveta,WUNDANYI,Iriwa
2568,16012,Mbale Rural Health Training Centre,Health Centre,Ministry of Health,24,6,0.0,Y,Y,Operational,N,Y,Y,Y,Y,12.2,590013,vihiga,VIHIGA,Mbale
2569,21106,Mbale Specialist Health Centre,Health Centre,Private Practice - Medical Specialist,24,5,0.0,N,Y,Operational,N,N,N,N,N,12.2,590013,vihiga,VIHIGA,Mbale
2570,16013,Mbaleway Side Clinic,Medical Clinic,Private Practice - Clinical Officer,0,0,0.0,Y,Y,Operational,N,N,Y,N,Y,12.2,590013,vihiga,VIHIGA,Mbale
2571,17622,Mbaraki Police VCT,VCT Centre (Stand-Alone),Other Public Institution,0,0,36.0,N,N,Operational,N,N,N,N,N,19.2,1208333,mombasa,MVITA,0
2572,19964,Mbari Ya Igi Dispensary,Dispensary,Ministry of Health,0,0,19.0,N,N,Operational,N,N,N,N,N,22.8,2417735,kiambu,GITHUNGURI,Kibichoi
2573,18824,Mbaruk Dispensary,Dispensary,Ministry of Health,0,0,19.0,N,N,Operational,N,N,N,N,N,19.3,2162202,nakuru,NAIVASHA,Gilgil Town
2575,17260,Mbau-Ini Dispensary,Dispensary,Community Development Fund,0,0,19.0,N,N,Operational,N,N,N,N,N,22.8,2417735,kiambu,LARI,Matathia
2576,17839,Mbavani Dispensary,Dispensary,Ministry of Health,4,0,4.0,N,N,Operational,N,N,N,N,N,13.2,987653,makueni,MBOONI,Kalawa
2577,16467,Mbeere District Hospital,District Hospital,Ministry of Health,25,0,5.0,Y,Y,Operational,Y,Y,Y,Y,Y,21.2,608599,embu,SIAKAGO,Siakago
2578,20088,Mbeere south DHMT,District Health Office,Ministry of Health,0,0,5.0,Y,N,Operational,N,N,N,N,N,21.2,608599,embu,GACHOKA,Kiritiri
2579,21254,Mbegani Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,N,N,N,8.0,866820,kwale,MATUGA,Deri
2580,12498,Mbembani Dispensary,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,Y,Y,Y,18.2,1421932,machakos,YATTA,Mbembani
2581,12499,Mbenuu H Centre,Health Centre,Ministry of Health,0,0,4.0,Y,Y,Operational,Y,N,Y,N,Y,13.2,987653,makueni,MAKUENI,MATILIKU
2582,12500,Mbeu Sub-District Hospital,Sub-District Hospital,Ministry of Health,18,0,6.0,N,N,Operational,N,Y,Y,Y,N,18.6,1545714,meru,TIGANIA WEST,Kianjai
2583,10711,Mbici Dispensary,Dispensary,Ministry of Health,0,0,19.0,N,N,Operational,N,N,N,N,N,22.8,2417735,kiambu,GATUNDU NORTH,Gatundutown
2585,18174,Mbiri (ACK) Dispensary,Dispensary,Christian Health Association of Kenya,0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,GICHUGU,Embu
2586,10713,Mbiriri Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,0,0,14.0,N,N,Operational,N,N,Y,N,N,31.0,759164,nyeri,KIENI,Ndathi
2587,12501,Mbita Dispensary,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,Y,Y,Y,21.2,608599,embu,GACHOKA,Mbita
2589,13798,Mbita District Hospital,District Hospital,Ministry of Health,21,0,0.0,Y,Y,Operational,Y,Y,Y,Y,Y,14.2,1131950,homabay,MBITA,Mbita
2592,12502,Mbitini Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,0,0,4.0,Y,Y,Operational,N,N,N,N,N,13.2,987653,makueni,MAKUENI,Mulala Mkt
2593,12521,Mbitini Health Centre,Health Centre,Ministry of Health,8,0,0.0,N,N,Operational,Y,N,Y,N,Y,14.9,1136187,kitui,KITUI CENTRAL,Mbitini
2594,12503,Mbiuni Health Centre,Health Centre,Ministry of Health,4,0,5.0,N,N,Operational,N,N,Y,Y,Y,18.2,1421932,machakos,MWALA,Mwala
2596,15164,Mbogo Valley Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,Y,Y,8.8,885711,nandi,TINDERET,Nandi Hills
2597,15165,Mbogoini Dispensary,Dispensary,Ministry of Health,0,0,19.0,N,N,Operational,N,N,Y,Y,Y,19.3,2162202,nakuru,SUBUKIA,Subukia
2598,12505,Mbondoni Dispensary,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,Y,Y,Y,21.2,608599,embu,GACHOKA,Mbondoni
2599,16246,Mbondoni Dispensary (Mwingi),Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,Y,Y,14.9,1136187,kitui,MWINGI SOUTH,Mbondoni
2600,12506,Mbonzuki Dispensary,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,Y,Y,Y,21.2,608599,embu,GACHOKA,Mbonzuki
2601,12507,Mbooni (AIC) Dispensary,Dispensary,Christian Health Association of Kenya,2,2,4.0,N,N,Operational,N,N,Y,N,Y,13.2,987653,makueni,MBOONI,Tuvilani
2602,12508,Mbooni District Hospital,District Hospital,Ministry of Health,41,5,4.0,Y,Y,Operational,Y,Y,Y,Y,Y,13.2,987653,makueni,MBOONI,Kikima Market
2603,17287,Mboroga Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,Y,Operational,N,N,N,N,N,18.6,1545714,meru,CENTRAL IMENTI,Ntugi
2604,13081,Mbotela Clinic,Medical Clinic,Local Authority,0,0,258.0,N,N,Operational,N,N,Y,N,Y,26.3,4397073,nairobi,MAKADARA,Uhuru Market
2605,17061,Mbugiti Dispensary,Dispensary,Ministry of Health,0,0,4.0,N,N,Operational,N,N,N,N,N,17.068633206144384,1056640,murang'a,KANDARA,0
2606,11590,Mbuguni Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,N,N,Y,Y,Y,8.0,866820,kwale,MATUGA,Kwale
2607,16968,Mbuini Dispensary,Dispensary,Ministry of Health,0,0,4.0,N,N,Operational,N,N,N,N,N,13.2,987653,makueni,KAITI,Kithangathini Market
2610,11591,Mbulia Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,Y,N,Y,N,19.1,340671,taitataveta,VOI,Ghazi
2611,18442,Mbuni Dispensary,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,N,N,N,18.2,1421932,machakos,KANGUNDO,Tala town
2612,12509,Mbusyani Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,Y,N,N,14.9,1136187,kitui,KITUI CENTRAL,Kitui
2613,11592,Mbuta Model Health Centre,Dispensary,Ministry of Health,4,0,36.0,Y,N,Operational,N,N,N,N,N,19.2,1208333,mombasa,LIKONI,Mombasa
2615,20271,Mbuvo Health Centre,Health Centre,Ministry of Health,10,6,4.0,Y,Y,Operational,N,N,N,N,N,13.2,987653,makueni,MAKUENI,wote
2616,11593,Mbuwani Dispensary,Dispensary,Ministry of Health,0,0,6.0,N,N,Operational,Y,N,Y,Y,Y,8.0,866820,kwale,MSAMBWENI,Ukunda
2617,18480,Mbuyu Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,11.6,638289,nyandarua,NDARAGWA,Gwakung'u
2618,11594,Mbwajumwali Dispensary,Dispensary,Ministry of Health,0,0,0.0,N,N,Operational,N,N,N,N,N,24.6,143920,lamu,LAMU EAST,Mbwajumwali
2620,18242,Mbwinjeru Methodist Dispensary,Dispensary,Christian Health Association of Kenya,0,0,6.0,N,N,Operational,N,N,N,N,N,18.6,1545714,meru,CENTRAL IMENTI,Mbwinjeru
2621,19187,Mcf Ndalani,Medical Clinic,Private Practice - Nurse / Midwife,0,0,5.0,N,Y,Operational,N,N,N,N,N,18.2,1421932,machakos,YATTA,0
2622,19182,MCF Yatta,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,N,N,N,18.2,1421932,machakos,YATTA,0
2623,10715,Mchana Estate Dispensary,Dispensary,Private Enterprise (Institution),0,0,19.0,N,N,Operational,N,N,N,N,N,22.8,2417735,kiambu,JUJA,Ruiru Town
2624,17927,MCK Kiirigu Dispensary,Dispensary,Christian Health Association of Kenya,0,0,0.0,N,Y,Operational,N,N,N,N,N,33.8,393177,tharakanithi,CHUKA IGAMBANGOMBE,Chuka
2625,11595,Mecca Medical Clinic,Medical Clinic,Private Enterprise (Institution),0,0,36.0,N,N,Operational,N,N,Y,N,N,19.2,1208333,mombasa,CHANGAMWE,Mombasa
2626,13800,Mecheo Dispensary,Dispensary,Ministry of Health,1,0,0.0,N,N,Operational,N,N,Y,Y,Y,14.1,605576,nyamira,NORTH MUGIRANGO,Mecheo
2627,16014,Mechimeru Dispensary,Dispensary,Ministry of Health,6,0,23.0,N,N,Operational,Y,Y,Y,N,Y,8.5,1670570,bungoma,KANDUYI,Bungoma
2628,16694,Med Afric Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0,0,0.0,N,N,Operational,N,N,N,N,N,7.5,990341,transnzoia,SABOTI,Kitale
2629,19482,Medanta Africare,Medical Centre,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
2630,20573,Medanta AfriCare krishna Park,Laboratory (Stand-alone),Private Practice - Medical Specialist,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,HighRidge Nakumatt
2631,19505,Medanta Africare Medical Centre,Medical Centre,Private Enterprise (Institution),13,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,Westlands Sarit Centre
2632,20451,Medecins Du Monde/France (Kangemi Kang'ora),Health Programme,Humanitarian Agencies,0,0,258.0,N,N,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,Kangemi Market
2633,20901,Medhiram Medical Centre (Masaba North),Medical Clinic,Private Practice - General Practitioner,6,2,0.0,N,Y,Operational,N,N,N,N,N,14.1,605576,nyamira,KITUTU MASABA,Keroka
2634,19099,Medical and Dental Clinic,Medical Clinic,Private Practice - Medical Specialist,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,LANG'ATA,Karen sopping centre
2635,10716,Medical Centre Clinic,Medical Clinic,Private Practice - Clinical Officer,0,0,4.0,N,N,Operational,N,N,N,N,N,22.3,610411,kirinyaga,KERUGOYA/KUTUS,Kerugoya
2636,19496,Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,0
2638,19834,Medical Plaza Clinic Banana,Medical Clinic,Private Practice - Clinical Officer,0,0,19.0,N,N,Operational,N,N,N,N,N,22.8,2417735,kiambu,KIAMBAA,Banana
